epoch,loss,train classification accuracy,Classified as target,Average similarity with target,Average similarity with correct caption,test_loss,test classification accuracy,Test-Classified as target,Test-Average similarity with target,Test-Average similarity with correct caption,norm v
296,0.205331174,0.95015625,1.34,0.23738304,0.319715031,,,,,,
297,0.205326491,0.9521875,1.22,0.23749788,0.319553215,,,,,,
298,0.205322948,0.95125,1.3,0.23758474,0.31917047,,,,,,
299,0.205304818,0.9503125,1.24,0.23802914,0.319791577,,,,,,
300,0.205319263,0.95421875,1.38,0.23767498,0.319440284,0.348508418,0.9609375,0.0234375,0.23792377,0.31837723,3.0555253
301,0.205311807,0.95484375,1.32,0.23785786,0.319836498,,,,,,
302,0.205306168,0.94921875,1.08,0.23799595,0.319299746,,,,,,
303,0.20529651,0.95109375,1.46,0.23823269,0.319371229,,,,,,
304,0.205301282,0.9559375,1.36,0.23811574,0.31938171,,,,,,
305,0.205293053,0.95296875,1.1,0.23831744,0.319445499,,,,,,
306,0.205285626,0.9515625,1.38,0.23849957,0.319049276,,,,,,
307,0.205290664,0.94953125,1.02,0.23837607,0.319425389,,,,,,
308,0.205276885,0.95078125,1.58,0.23871379,0.318998253,,,,,,
309,0.205275649,0.94765625,1.32,0.23874405,0.319329679,,,,,,
310,0.205267507,0.951875,1.4,0.23894358,0.319040685,,,,,,
311,0.205268981,0.946875,1.08,0.23890743,0.31940738,,,,,,
312,0.20525982,0.95625,1.24,0.2391321,0.319102814,,,,,,
313,0.20523322,0.95546875,1.1,0.23978405,0.31961551,,,,,,
314,0.2052383,0.94765625,1.48,0.23965949,0.319044417,,,,,,
315,0.205234463,0.94984375,1.4,0.23975351,0.318975656,,,,,,
316,0.205230864,0.95296875,1.36,0.23984176,0.318862993,,,,,,
317,0.205205134,0.95171875,1.42,0.24047238,0.319031873,,,,,,
318,0.205154541,0.9490625,1.44,0.2417125,0.318698763,,,,,,
319,0.205120938,0.9475,1.22,0.24253607,0.318517428,,,,,,
320,0.20509242,0.9409375,1.3,0.24323505,0.318166633,,,,,,
321,0.205030923,0.944375,2.14,0.24474233,0.318516533,,,,,,
322,0.204943413,0.9284375,3.36,0.2468873,0.318043989,,,,,,
323,0.20481548,0.9184375,6.04,0.25002298,0.31781759,,,,,,
324,0.204734728,0.90125,8.32,0.25200233,0.317535826,,,,,,
325,0.204655973,0.88265625,10.84,0.2539326,0.317280535,0.340423018,0.921875,0.08203125,0.25516063,0.319007545,3.3047428
326,0.204573428,0.86921875,12.16,0.25595585,0.316842318,,,,,,
327,0.204506324,0.853125,14.22,0.2576005,0.316319284,,,,,,
328,0.204458679,0.84015625,16.02,0.25876826,0.315990375,,,,,,
329,0.20443485,0.84015625,16.46,0.25935245,0.315982252,,,,,,
330,0.204388176,0.83125,18.18,0.26049644,0.315332076,,,,,,
331,0.204346698,0.82390625,19.08,0.26151305,0.315379487,,,,,,
332,0.2043048,0.819375,19.58,0.26253995,0.315492913,,,,,,
333,0.204248911,0.80828125,21.04,0.26390982,0.315196649,,,,,,
334,0.2042127,0.79609375,22.22,0.26479742,0.31477006,,,,,,
335,0.20420234,0.7959375,22.6,0.26505128,0.314901544,,,,,,
336,0.204163863,0.79375,22.8,0.26599437,0.315010518,,,,,,
337,0.204162848,0.7896875,23.44,0.2660193,0.314789835,,,,,,
338,0.20409684,0.7778125,24.4,0.26763713,0.314030044,,,,,,
339,0.204077714,0.7725,26.34,0.26810595,0.314406695,,,,,,
340,0.204066475,0.7775,25.28,0.26838142,0.314471889,,,,,,
341,0.204038955,0.76328125,27.24,0.26905602,0.313673886,,,,,,
342,0.203993175,0.76375,27.84,0.27017808,0.313976943,,,,,,
343,0.204001814,0.755,28.22,0.26996627,0.3136304,,,,,,
344,0.203941027,0.7515625,29.08,0.2714562,0.313381886,,,,,,
345,0.203897826,0.72828125,32.02,0.27251506,0.313211295,,,,,,
346,0.203882717,0.7315625,31.16,0.27288535,0.313213552,,,,,,
347,0.203900369,0.73734375,30.76,0.27245277,0.31317852,,,,,,
348,0.203861597,0.72921875,31.46,0.27340302,0.312835968,,,,,,
349,0.203815034,0.7265625,32.42,0.27454433,0.313143669,,,,,,
350,0.203823244,0.72046875,33.44,0.27434325,0.312717456,0.329451144,0.71484375,0.2734375,0.27750605,0.310840403,3.7742617
351,0.203762335,0.7078125,35.38,0.27583608,0.312715005,,,,,,
352,0.203761862,0.7146875,34.16,0.27584764,0.31257173,,,,,,
353,0.203779946,0.710625,34.36,0.2754044,0.312520245,,,,,,
354,0.203753566,0.71109375,34.9,0.27605093,0.31271427,,,,,,
355,0.203752399,0.703125,35.28,0.27607954,0.312329568,,,,,,
356,0.203686559,0.69859375,36.36,0.27769336,0.312070515,,,,,,
357,0.203689281,0.6953125,36.7,0.2776266,0.312280054,,,,,,
358,0.203686513,0.6865625,37.84,0.2776945,0.311864438,,,,,,
359,0.203624473,0.678125,38.98,0.2792151,0.311946669,,,,,,
360,0.20364967,0.67390625,39.34,0.2785975,0.311527645,,,,,,
361,0.203670983,0.6871875,37.7,0.27807507,0.311684848,,,,,,
362,0.2035979,0.66921875,40,0.27986634,0.311237216,,,,,,
363,0.203603434,0.676875,38.76,0.27973068,0.311529613,,,,,,
364,0.20359035,0.67578125,40.14,0.2800514,0.311807313,,,,,,
365,0.203556917,0.659375,41.56,0.2808708,0.31145328,,,,,,
366,0.203586071,0.6671875,40.64,0.28015625,0.311507373,,,,,,
367,0.20358848,0.66859375,40.16,0.28009734,0.311086583,,,,,,
368,0.203574377,0.66546875,40.6,0.28044295,0.311336473,,,,,,
